Russian,English
??? "????????? ????" (??? "????????? ????") - ??????,OOO "NIARMEDIK PLUS" (OOO "NIARMEDIK PLUS") - Russia
"??? ""????????? ????"" (??? ""????????? ????"") - ??????;??.,????.??.,????.??.,???.?.-??? ""????????"" - ??????.","OOO ""NIARMEDIK PLUS"" (OOO ""NIARMEDIK PLUS"") - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - OOO ""Hemofarm"" - Russia."
"??? ""????????? ????"" - ??????;??.,????.??.,????.??.,???.?.-??? ""????????"" - ??????.","LLC ""NIARMEDIK PLUS"" - Russia; Pr., Perv.Up., Vtor.Up., Vyp.k. - LLC ""Hemofarm"" - Russia."
"??????-????/???????? ????? ????, ????????;??.-??????-???? ?? - ????????;????.??.,????.??.-???????? - ??? ?????? ???? - ????????;???.?.-??????-???? ?? - ????????.","Berlin-Chemie/Menarini Pharma GmbH, Germany; Pr.-Berlin-Chemie AG - Germany; First Pack., Second Pack.-Menarini - Von Heyden GmbH - Germany; Issuer-Berlin-Chemie AG - Germany."
"??? «??????-???????????????? ???????? «???????» (??? «???????») - ??????;??.-?.??. ??????? ???. ???. - ?????;????.??.,????.??.,???.?.-??? «??????-???????????????? ???????? «???????» (??? «???????») - ??????.","JSC Chemical and Pharmaceutical Plant AKRIKHIN (JSC AKRIKHIN) - Russia; Pr.-M.J. Biopharm Pvt. Ltd. - India; First Unit, Second Unit, Issuer-JSC Chemical and Pharmaceutical Plant AKRIKHIN (JSC AKRIKHIN) - Russia."
"??????-??????? ????? - ???????;??.,????.??.-C????? ??????? ????????? - ???????;????.??.,???.?.-??? ""????????????-???????"" - ??????.","SANOFI-AVENTIS FRANCE - France; Pr., First Pack. - Sanofi Winthrop Industry - France; Second Pack., Issuer - JSC Pharmstandard-UfaVITA - Russia."
"??.??? ""????????? ????"", ?????? (7734247100); ???.?.????.??.????.??.??.??? ""????????? ?????"", ?????? (4025428596);","Owner: OOO ""NIARMEDIK PLUS"", Russia (7734247100); Issuer: First. Unit. Second. Unit. Pr. OOO ""NIARMEDIK PHARMA"", Russia (4025428596);"
"??.???????? ??????????? ???????? ""??????-???????????????? ???????? ""???????"" (??? ""???????""), ??????; ??.?.??. ??????? ???. ???, ?????; ???.?.????.??.????.??.??????????? ???????? ""??????-???????????????? ???????? ""???????"" (?? ""???????""), ??????;","Owner: Open Joint-Stock Company ""Chemical and Pharmaceutical Plant ""AKRIKHIN"" (OJSC ""AKRIKHIN""), Russia; Pr. M.J. Biopharm Pvt. Ltd, India; Issuer. First. Second. Second. Joint-Stock Company ""Chemical and Pharmaceutical Plant ""AKRIKHIN"" (JSC ""AKRIKHIN""), Russia;"
"??.??? ""????????? ????"", ?????? (7734247100); ???.?.????.??.????.??.??.??? ""????????"", ??????;","Owner: OOO ""NIARMEDIK PLUS"", Russia (7734247100); Issuer: First. Unit. Second. Unit. Pr. OOO ""Hemofarm"", Russia;"
"??.??? ""????????? ????"", ?????? (7734247100); ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""????????? ????"" (??? ""????????? ????""), ??????;","Owner: OOO ""NIARMEDIK PLUS"", Russia (7734247100); Issuer: First. Up. Second. Up. Pr. Limited Liability Company ""NIARMEDIK PLUS"" (OOO ""NIARMEDIK PLUS""), Russia;"
???????? ??????????? ???????? "??????-???????????????? ???????? "???????" (??? "???????") - ??????,Open Joint-Stock Company "Chemical and Pharmaceutical Plant "AKRIKHIN" (OJSC "AKRIKHIN") - Russia
"??.???.?.????.??.????.??.??.??? ""?????"", ?????? (7733047394);","Owner: Issuer of the First Department of the Second Department of the Pr. OOO ""FERON"", Russia (7733047394);"
"??.??? ""?????"", ??????; ???.?.????.??.????.??.??.??? ""?????"", ?????? (7733047394);","Owner OOO ""FERON"", Russia; Issuer First. Up. Second. Up. Pr. OOO ""FERON"", Russia (7733047394);"
"??????-??????? ????? - ???????;??.,????.??.-?????? ??????? ????????? - ???????;????.??.,???.?.-??? ""????????????-???????"" - ??????.","SANOFI-AVENTIS FRANCE - France; Pr., First Pack. - Sanofi Winthrop Industry - France; Second Pack., Issuer - JSC Pharmstandard-UfaVITA - Russia."
"??.?????? ?????????????? ?.?., ????????; ??.???????? ????? ????? ??, ?????????; ???.?.????.??.????.??.???????? ????? ?.?.?., ??????;","Owner: Sandoz Pharmaceuticals d.d., Slovenia; Pr. Novartis Pharma Stein AG, Switzerland; Issuer: First. Up. Second. Up. Novartis Pharma SpA, Italy;"
"??.??? ""????????? ????"", ??????; ???.?.????.??.????.??.??.??? ""????????? ?????"", ?????? (4025428596);","Owner: OOO ""NIARMEDIK PLUS"", Russia; Issuer: First. Up. Second. Up. Pr. OOO ""NIARMEDIK PHARMA"", Russia (4025428596);"
"??.?????? ?????????????? ?.?., ???????? (76665623); ???.?.????.??.????.??.??.???????? ????? ?.?.?., ??????;","Vl.Sandoz Pharmaceuticals d.d., Slovenia (76665623); Vyp.k.Perv.Up.Vtor.Up.Pr.Novartis Pharma SpA, Italy;"
"??.?????? ?????????????? ?.?., ???????? (76665623); ????.??.??.???????? ????? ?.?.?., ??????; ???.?.????.??.???????? ? ???????????? ???????????????? ""???????? ????"" &#x0D; (??? ""???????? ????""), ??????;","Vl.Sandoz Pharmaceuticals d.d., Slovenia (76665623); First.Up.Pr.Novartis Pharma S.p.A., Italy; Issue. Secondary Up. Limited Liability Company ""Novartis Neva"" &#x0D; (Novartis Neva LLC), Russia;"
"??.???.?.??.??????-???? ??, ????????; ????.??.????.??.????????-??? ?????? ????, ????????;","Owner: Issuer of Berlin-Chemie AG, Germany; First Unit of Second Unit of Menarini-Von Heyden GmbH, Germany;"
"??.?????? ?????????????? ?.?., ???????? (76665623); ??.???????? ????? ????? ??, ?????????; ????.??.???????? ????? ?.?.?., ??????; ???.?.????.??.???????? ? ???????????? ???????????????? ""???????? ????"" &#x0D; (??? ""???????? ????""), ??????;","Owner: Sandoz Pharmaceuticals d.d., Slovenia (76665623); Pr. Novartis Pharma Stein AG, Switzerland; First. Up. Novartis Pharma SpA, Italy; Second. Up. Limited Liability Company ""Novartis Neva"" (OOO ""Novartis Neva""), Russia;"
"??.???.?.????.??.????.??.??.??? ""?????"", ??????;","Owner: Issuer of the First and Second Divisions of OOO ""Feron"", Russia;"
"??.?????? ?????????????? ?.?., ???????? (76665623); ??.???????? ???????? ????????????? ?????????????? ???. ???, ????????; ???.?.????.??.????.??.???????? ????? ?.?.?., ??????;","Vl.Sandoz Pharmaceuticals d.d., Slovenia (76665623); Pr. Novartis Singapore Pharmaceutical Manufacturing Pte. Ltd, Singapore; Issue.First.Up.Second.Up.Novartis Pharma S.p.A., Italy;"
"??.?????? ?????????????? ?.?., ???????? (76665623); ??.???????? ???????? ????????????? ?????????????? ???. ???, ????????; ????.??.???????? ????? ?.?.?., ??????; ???.?.????.??.???????? ? ???????????? ???????????????? ""???????? ????"" &#x0D; (??? ""???????? ?","Vl.Sandoz Pharmaceuticals d.d., Slovenia (76665623); Pr. Novartis Singapore Pharmaceutical Manufacturing Pte. Ltd, Singapore; First.United Novartis Pharma S.p.A., Italy; Issue. Secondary Up. Limited Liability Company ""Novartis Neva"" &#x0D; (Novartis N LLC"
"??.??????-??????? ?????, ???????; ????.??.??.?????? ??????? ?????????, ???????; ???.?.????.??.??? ""????????????-???????"", ??????;","Owner: Sanofi-Aventis France, France; First Unitary Enterprise: Sanofi Winthrop Industry, France; Second Unitary Enterprise: Pharmstandard-UfaVITA OJSC, Russia;"
"??.??????? ????? ???????, ???? (10340803Y); ???.?.????.??.????.??.??.?????? ?????????????? ?.?., ????????? ?????????? (SK2023599842);","Vl.Xantis Pharma Limited, Cyprus (10340803Y); Vyp.k.Perv.Up.Vtor.Up.Pr.Saneka Pharmaceuticals a.s., Slovak Republic (SK2023599842);"
"??.???.?.????.??.????.??.??.??? ""??? ????????? ????"", ?????? (7702302492);","Owner: Vyp.k.Perv.Up.Vtor.Up.Pr.OOO ""NPO Petrovax Pharm"", Russia (7702302492);"
"??.????.??.??????????? ?? ???, ??????????????; ??.?????? ????? ????, ????????; ???.?.????.??.??? ""???-????????"", ?????? (5036046054);","Owner: First Unitary Enterprise AstraZeneca UK Ltd, UK; Owner: Corden Pharma GmbH, Germany; Issuer: Second Unitary Enterprise ZAO ZiO-Zdorovie, Russia (5036046054);"
"??.???.?.????.??.????.??.??????????? ?? ???????, ?????????????? (582 3236 42); ??.?????? ????? ????, ????????;","Vl.Vyp.k.Perv.Up.Vtor.Up.AstraZeneca UK Limited, UK (582 3236 42); Pr.Corden Pharma GmbH, Germany;"
"??.??????????? ?? ???????, ?????????????? (582 3236 42); ??.???????-?????? ?????? ???????, ???; ????.??.???????-?????? ?????? C.p.?., ??????; ???.?.????.??.???????-?????? ?????? ?.?.?., ??????;","Owner: AstraZeneca UK Limited, UK (582 3236 42); Pr. Bristol-Myers Squibb Company, USA; Primary Producer: Bristol-Myers Squibb C.r.L., Italy; Secondary Producer: Bristol-Myers Squibb S.r.L., Italy;"
"??.??????????? ?? ???????, ?????????????? (582 3236 42); ??.???????-?????? ?????? ???????, ???; ???.?.????.??.????.??.???????-?????? ?????? ?.?.?., ??????;","Owner: AstraZeneca UK Limited, UK (582 3236 42); Pr. Bristol-Myers Squibb Company, USA; Issuer: First. Up. Second. Up. Bristol-Myers Squibb S.r.l., Italy;"
"??.??????????? ?? ???????, ?????????????? (582 3236 42); ???.?.??.???????-?????? ?????? ???????, ???; ????.??.????.??.???????-?????? ?????? C.p.?., ??????;","Owner: AstraZeneca UK Limited, UK (582 3236 42); Issuer: Bristol-Myers Squibb Company, USA; Primary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Secondary Third ..."
"??.??????????? ?? ???????, ?????????????? (582 3236 42); ???.?.??.???????-?????? ?????? ???????, ???; ????.??.???????-?????? ?????? ?.?.?., ??????; ????.??.???????-?????? ?????? C.p.?., ??????;","Owner: AstraZeneca UK Limited, UK (582 3236 42); Issuer: Bristol-Myers Squibb Company, USA; Primary: Bristol-Myers Squibb S.r.L., Italy; Secondary: Bristol-Myers Squibb C.r.L., Italy;"
"??.??? ""??? ????????? ????"", ?????? (7702302492); ???.?.????.??.????.??.??.??? ""??? ????????? ????"", ??????;","Owner: OOO NPO Petrovax Pharm, Russia (7702302492); Issuer: First. Unit. Second. Unit. Pr. OOO NPO Petrovax Pharm, Russia;"
"??.??? ""??? ????????? ????"", ?????? (7702302492); ???.?.????.??.????.??.??.??? ""??? ????????? ????"", ?????? (7702302492);","Owner: OOO NPO Petrovax Pharm, Russia (7702302492); Issuer: First. Unit. Second. Unit. Pr. OOO NPO Petrovax Pharm, Russia (7702302492);"
"??.??????????? ?? ???????, ?????????????? (582 3236 42); ??.??????????? ?????????????? ??, ???; ???.?.????.??.????.??.???????-?????? ?????? ?.?.?, ??????;","Owner: AstraZeneca UK Limited, UK (582 3236 42); Pr. AstraZeneca Pharmaceuticals LP, USA; Manufacturer: First Packet, Second Packet, Bristol-Myers Squibb S.r.l., Italy;"
"??.??????????? ?? ???, ??????????????; ??.??????????? ?????????????? ??, ???; ????.??.??????????? ?? ???????, ??????????????; ???.?.????.??.???????? ? ???????????? ???????????????? ""??????????? ?????????"" &#x0D; (??? ""??????????? ?????????""), ??????;","Owner: AstraZeneca UK Ltd, UK; Pr. AstraZeneca Pharmaceuticals LP, USA; First. Up. AstraZeneca UK Limited, UK; Second. Up. Limited Liability Company ""AstraZeneca Industries"" (OOO ""AstraZeneca Industries""), Russia;"
"??????????? ?? ??????? - ??????????????;??.-???????-?????? ?????? ??????? - ???;????.??.,????.??.,???.?.-???????-?????? ?????? ?.?.?. - ??????.","AstraZeneca UK Limited - Great Britain; Pr. - Bristol-Myers Squibb Company - USA; First Pack., Second Pack., Issuer - Bristol-Myers Squibb S.r.L. - Italy."
"??????????? ?? ??????? - ??????????????;??.-???????-?????? ?????? ??????? - ???;????.??.,????.??.-???????-?????? ?????? ?.?.?. - ??????;???.?.-???????-?????? ?????? ??????? - ???.","AstraZeneca UK Limited - Great Britain; Pr. - Bristol-Myers Squibb Company - USA; First Pack., Second Pack. - Bristol-Myers Squibb S.r.L. - Italy; Issuer - Bristol-Myers Squibb Company - USA."
??. - ??????????? ?? ??????? - ??????????????; ??. - ??????????? ?????????????? ?? - ???,Vl. - AstraZeneca UK Limited - UK; Ave. - AstraZeneca Pharmaceuticals LP - USA
??. - ??????????? ?? ??????? - ??????????????; ??. - ?????? ????? ???? - ????????,Owner - AstraZeneca UK Limited - UK; Pr. - Corden Pharma GmbH - Germany
"??????????? ?? ??????? - ??????????????;??.,????.??.-""?????? ????? ????"" - ????????;????.??.,???.?.-??? ""???-????????"" - ??????.","AstraZeneca UK Limited - Great Britain; Pr., First Pack. - ""Corden Pharma GmbH"" - Germany; Second Pack., Issuer - ZAO ""ZiO-Zdorovie"" - Russia."
"??????????? ?? ??????? - ??????????????;??.-""?????? ????? ????"" - ????????;????.??.-??????????? ?? ??????? - ??????????????;????.??.,???.?.-??? ""???-????????"" - ??????.","AstraZeneca UK Limited - Great Britain; Pr. - ""Corden Pharma GmbH"" - Germany; First Pack. - AstraZeneca UK Limited - Great Britain; Second Pack., Issuer - ZAO ""ZiO-Zdorovie"" - Russia."
"??????????? ?? ??????? - ??????????????;??.-""?????? ????? ????"" - ????????;????.??.,????.??.,???.?.-??????????? ?? ??????? - ??????????????.","AstraZeneca UK Limited - Great Britain; Pr. - ""Corden Pharma GmbH"" - Germany; First. Up., Second. Up., Issue - AstraZeneca UK Limited - Great Britain."
"??????????? ?? ??????? - ??????????????;??.,????.??.,????.??.,???.?.-""?????? ????? ????"" - ????????.","AstraZeneca UK Limited - Great Britain; Pr., First Pack., Second Pack., Issuer - ""Corden Pharma GmbH"" - Germany."
"??????????? ?? ??????? - ??????????????;??.-""??????????? ?????????????? ??"" - ???;????.??.,????.??.,???.?.-??????????? ?? ??????? - ??????????????.","AstraZeneca UK Limited - Great Britain; Pr. - ""AstraZeneca Pharmaceuticals LP"" - USA; First. Up., Second. Up., Issue - AstraZeneca UK Limited - Great Britain."
??. - ??????? ???? ? ??.?? - ???????; ??. - ???.????? ???? ? ??.?? - ????????,Owner: Viatris GmbH & Co. KG - Austria; Pr.: AVD.pharma GmbH & Co. KG - Germany
"??.-??????????? ?? ???????, ??????????????;??.,????.??.,????.??.,???.?.-?????? ????? ????, ????????.","Owner - AstraZeneca UK Limited, UK; Pr., First Pack., Second Pack., Issuer - Corden Pharma GmbH, Germany."
"??.-??????????? ?? ???????, ??????????????;??.-?????? ????? ????, ????????;????.??.,????.??.,???.?.-??????????? ?? ???????, ??????????????.","Owner - AstraZeneca UK Limited, UK; Pr. - Corden Pharma GmbH, Germany; First Pack., Second Pack., Issuer - AstraZeneca UK Limited, UK."
??? "????????" - ??????,OJSC "Veropharm" - Russia
??? «????????» - ??????,OJSC "VEROPHARM" - Russia
"??.???????? ??????????? ???????? &#x0D; ""????????"" (??? ""????????""), ??????&#x0D; 107023, ?. ??????, ?????????? ???., ?. 3, ~; ???.?.????.??.????.??.??.??????????? ???????? &#x0D; ""????????"" (?? ""????????""), ??????;","Owner: Open Joint-Stock Company ""VEROPHARM"" (OJSC ""VEROPHARM""), Russia; 107023, Moscow, Barabanny per., 3, ~; Issue No. First. Second. Second. Joint-Stock Company ""VEROPHARM"" (JSC ""VEROPHARM""), Russia;"
"??.???????? ? ???????????? ???????????????? ""????-????"" (??? ""????-????""), ?????? (5032048702); ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""????????"" &#x0D; (??? ""????????""), ??????;","Owner: Limited Liability Company ""LENS-Pharm"" (LLC ""LENS-Pharm""), Russia (5032048702); Issue.First.Up.Second.Up.Pr.Limited Liability Company ""VEROPHARM"" &#x0D; (VEROPHARM LLC), Russia;"
"??.???????? ? ???????????? ???????????????? ""????????"" (??? ""????????""), ??????; ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""????????"" &#x0D; (??? ""????????""), ??????;","Owner.Limited Liability Company ""VEROPHARM"" (OOO ""VEROPHARM""), Russia; Issuer.First.Up.Second.Up.Pr.Limited Liability Company ""VEROPHARM"" (OOO ""VEROPHARM""), Russia;"
"??.???????? ? ???????????? ???????????????? ""????-????"" (??? ""????-????""), ?????? (5032048702); ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""????????"" (??? ""????????""), ??????;","Owner: Limited Liability Company ""LENS-Pharm"" (LLC ""LENS-Pharm""), Russia (5032048702); Graduated.First.Up.Second.Up.Pr.Limited Liability Company ""VEROPHARM"" (LLC ""VEROPHARM""), Russia;"
"??.???????? ? ???????????? ???????????????? ""????-????"", ?????? (5032048702); ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""????????"" (??? ""????????""), ??????;","Owner: Limited Liability Company ""LENS-Pharm"", Russia (5032048702); Issuer: First. Up. Second. Up. Pr. Limited Liability Company ""VEROPHARM"" (OOO ""VEROPHARM""), Russia;"
"??.???????? ??????????? ???????? &#x0D; ""????????"" (??? ""????????""), ??????&#x0D; 107023, ?. ??????, ?????????? ???., ?. 3, ~; ???.?.????.??.????.??.??.???????? ??????????? ???????? ""????????"" (??? ""????????""), ??????;","Owner: Open Joint-Stock Company ""VEROPHARM"" (OJSC ""VEROPHARM""), Russia; 107023, Moscow, Barabanny per., 3, ~; Issue No. First. Second. Second. Open Joint-Stock Company ""VEROPHARM"" (OJSC ""VEROPHARM""), Russia;"
"??.???????? ? ???????????? ???????????????? ""????????"" (??? ""????????""), ?????? (5032048702); ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""????-????"" (??? ""????-????""), ??????;","Owner: Limited Liability Company ""VEROPHARM"" (LLC ""VEROPHARM""), Russia (5032048702); Graduated.First.Up.Second.Up.Pr.Limited Liability Company ""LENS-Pharm"" (LLC ""LENS-Pharm""), Russia;"
"??.???????? ? ???????????? ???????????????? ""????-????"", ?????? (5032048702); ???.?.????.??.????.??.??.???????? ? ???????????? ???????????????? ""????????"" &#x0D; (??? ""????????""), ??????;","Owner: Limited Liability Company ""LENS-Pharm"", Russia (5032048702); Issue.First.Up.Second.Up.Pr.Limited Liability Company ""VEROPHARM"" &#x0D; (VEROPHARM LLC), Russia;"
