es,en
virus atenuados varicela,attenuated chickenpox virus
vit.a+vit.d+asoc.,vit.a+vit.d+assoc.
vit.b1,vit.b1
vit.b6,vit.b6
vit.c+citroflavonoide+asoc.,vit.c+citroflavonoid+assoc.
vit.c+l-lisina,vit.c+l-lysine
vit.c+magnesio+asoc.,vit.c+magnesium+assoc.
vit.c+vit.e+betacaroteno,vit.c+vit.e+beta-carotene
vit.d3+asoc.,vit.d3+assoc.
vitamina c caram.x 12 (VL),vitamin c caram.x 12 (VL)
vonoprazan,vonoprazan
vorinostat,vorinostat
x 1 unidad,x 1 unit
xilitol,xylitol
xilometazolina,xylometazoline
zanubrutinib,zanubrutinib
zinc+l-leucina+l-valina,zinc+l-leucine+l-valine
zofenopril,zofenopril
zonisamide,zonisamide
(como base) 500 mg a.x 1,(as base) 500 mg a.x 1
"0,9% bolsa x 1000 ml",0.9% bag x 1000 ml
0.005% cr.x 30 g,0.005% cr.x 30 g
0.01% fco.gotero x 3 ml,0.01% fco.dropper x 3 ml
0.010% env.x 20 g,0.010% env.x 20 g
0.02 mg iny.a.x 8,0.02 mg inj.a.x 8
0.02% cr.x 30 g,0.02% cr.x 30 g
0.025% cr.x 20 g,0.025% cr.x 20 g
0.025% env.x 20 g,0.025% env.x 20 g
0.03% sol.oft.x 3 ml,0.03% sol.oft.x 3 ml
0.03% ung.x 10 g,0.03% ung.x 10 g
0.03% ung.x 15 g,0.03% ung.x 15 g
0.03% vial x 30 x 0.4ml,0.03% vial x 30 x 0.4ml
0.05 g sol.oft.x 6 ml,0.05 g sol.oft.x 6 ml
0.05 mg comp.x 50,0.05 mg tablets x 50
0.05 mg/1 ml iny.a.x 5,0.05 mg/1 ml inj.a.x 5
0.05 mg/ml a.x 25 x 5 ml,0.05 mg/ml a.x 25 x 5 ml
0.05% cr.x 10 g,0.05% cr.x 10 g
0.05% cr.x 20 g,0.05% cr.x 20 g
0.05% cr.x 50 g,0.05% cr.x 50 g
0.05% loc.x 30 ml,0.05% loc.x 30 ml
0.05% shampoo x 150 ml,0.05% shampoo x 150 ml
0.050% cr.x 30 g,0.050% cr.x 30 g
0.050% env.x 20 g,0.050% env.x 20 g
0.1 g% cr.x 15 g,0.1 g% cr.x 15 g
0.1 mg a.x 5 x 1 ml,0.1 mg a.x 5 x 1 ml
0.1 mg comp.x 100,0.1 mg tablets x 100
0.1 mg comp.x 30,0.1 mg tablets x 30
0.1% a.x 1 x 1 ml,0.1% a.x 1 x 1 ml
0.1% a.x 100 x 1 ml,0.1% a.x 100 x 1 ml
0.1% cr.x 10 g,0.1% cr.x 10 g
0.1% cr.x 15 g,0.1% cr.x 15 g
0.1% cr.x 20 g,0.1% cr.x 20 g
0.1% fco.gotero x 5 ml,0.1% fco.dropper x 5 ml
0.1% gel x 30 g (VL) (VL),0.1% gel x 30 g (VL) (VL)
0.1% gts.x 15 ml,0.1% gts.x 15 ml
0.1% sol.oft.ester.x5 ml,0.1% sol.oft.ester.x5 ml
0.1% sol.x 10 ml,0.1% sol.x 10 ml
0.1% ung.x 15 g,0.1% ung.x 15 g
0.1% ung.x 30 g,0.1% ung.x 30 g
0.1/0.1/2 g% cr.x 20 g,0.1/0.1/2 g% cr.x 20 g
0.10 mg a.x 5 x 1 ml,0.10 mg a.x 5 x 1 ml
0.10 mg comp.x 50,0.10 mg tablets x 50
0.10% ung.x 20 g,0.10% ung.x 20 g
0.100% env.x 20 g,0.100% env.x 20 g
0.125 mg comp.x 30,0.125 mg tablets x 30
0.15 mg autoinyector x 1,0.15 mg auto-injector x 1
0.16% jbe.x 120 ml (VL),0.16% jbe.x 120 ml (VL)
0.2 mg a. x 100 x 5 ml,0.2 mg a. x 100 x 5 ml
0.2 mg a.x 1,0.2 mg a.x 1
0.2 mg a.x 25 x 5 ml,0.2 mg a.x 25 x 5 ml
0.2 mg a.x 6 x 1 ml,0.2 mg a.x 6 x 1 ml
0.2 mg comp.x 100,0.2 mg tablets x 100
0.2 mg comp.x 1000,0.2 mg comp.x 1000
0.2 mg comp.x 20,0.2 mg tablets x 20
0.2 mg iny.a.x 8,0.2 mg inj.a.x 8
0.2 mg/ml a.x25 x 1 ml,0.2 mg/ml a.x25 x 1 ml
0.2% cr.x 10 g,0.2% cr.x 10 g
0.2% fco.gotero x 2.5 ml,0.2% fco.dropper x 2.5 ml
0.2% gts.ped. x 20 ml,0.2% gts.ped. x 20 ml
0.2%/0.5% gts.oft.x 5 ml,0.2%/0.5% gts.oft.x 5 ml
0.25 0.5mg/dosis x1.5ml,0.25 0.5mg/dose x1.5ml
0.25 mg a.x 50 x 5ml,0.25 mg a.x 50 x 5ml
0.25 mg comp. x 12,0.25 mg tablets x 12
0.25 mg comp. x 120,0.25 mg tablets x 120
0.25 mg comp. x 30,0.25 mg tablets x 30
0.25 mg comp. x 60,0.25 mg tablets x 60
0.25 mg comp.ran.x 60,0.25 mg comp.ran.x 60
0.25 mg comp.rec.x 12,0.25 mg comp.rec.x 12
0.25 mg comp.rec.x 120,0.25 mg rec. tab. x 120
0.25 mg comp.rec.x 30,0.25 mg rec. tab. x 30
0.25 mg comp.subl. x 30,0.25 mg subcutaneous tabs x 30
0.25 mg comp.subl.x 15,0.25 mg subcutaneous tab. x 15
0.25 mg comp.x 100,0.25 mg tablets x 100
0.25 mg comp.x 20,0.25 mg tablets x 20
0.25 mg comp.x 28,0.25 mg tablets x 28
0.25 mg comp.x 40,0.25 mg tablets x 40
0.25 mg comp.x 50,0.25 mg tablets x 50
0.25 mg iny.a.x 25 x 5ml,0.25 mg inj.a.x 25 x 5ml
0.25 mg iny.a.x100 x 5ml,0.25 mg inj.a.x100 x 5ml
0.25 mg jer. prell. x 4,0.25 mg prefilled syringe x 4
0.25 mg vial x 1,0.25 mg vial x 1
0.25% iny.a.x 2 x 2 ml,0.25% inj.a.x 2 x 2 ml
0.25% sol.oft.x 5 ml,0.25% sol.oft.x 5 ml
0.250 mg comp.x 100,0.250 mg comp.x 100
0.250 mg comp.x 30,0.250 mg tablets x 30
0.25mg a.x 50 x 5ml (EH),0.25mg a.x 50 x 5ml (EH)
0.3 mg autoinyector x 1,0.3 mg auto-injector x 1
0.3% gotas x 5 ml,0.3% drops x 5 ml
0.3% sol.oft.x 10 ml,0.3% sol.oft.x 10 ml
0.35 mg comp.x 100,0.35 mg tablets x 100
0.375mg comp.lib.prolx10,0.375mg comp.lib.prolx10
0.375mg comp.lib.prolx30,0.375mg comp.lib.prolx30
0.375mgcomp.lib.prol.x10,0.375mgcomp.lib.prol.x10
0.4 mg a.x 1 ml,0.4 mg a.x 1 ml
0.4 mg comp.x 30,0.4 mg tablets x 30
0.4 mg comp.x 60,0.4 mg comp.x 60
0.4 mg/ml a.x 25 x 1 ml,0.4 mg/ml a.x 25 x 1 ml
0.44mg/ml vial x 1 x 2ml,0.44mg/ml vial x 1 x 2ml
0.4mg comp.lib.prol.x 30,0.4mg comp.lib.prol.x 30
0.4mg comp.lib.prol.x 60,0.4mg comp.lib.prol.x 60
0.5 mg a.x 1 x 1 ml,0.5 mg a.x 1 x 1 ml
0.5 mg a.x 25 x 1 ml,0.5 mg a.x 25 x 1 ml
0.5 mg a.x 50 x 1 ml,0.5 mg a.x 50 x 1 ml
0.5 mg a.x 50 x 5 ml,0.5 mg a.x 50 x 5 ml
0.5 mg comp. rec.x 28,0.5 mg tab. rec.x 28
0.5 mg comp.birran.x30,0.5 mg comp.birran.x30
0.5 mg comp.birran.x60,0.5 mg comp.birran.x60
0.5 mg comp.ran.x 20,0.5 mg comp.ran.x 20
0.5 mg comp.rec.x 20,0.5 mg rec. tab. x 20
0.5 mg comp.rec.x 30,0.5 mg rec. tab. x 30
0.5 mg comp.rec.x 60,0.5 mg rec. tab. x 60
0.5 mg comp.x 10,0.5 mg tablets x 10
0.5 mg comp.x 100,0.5 mg tablets x 100
0.5 mg comp.x 28,0.5 mg tablets x 28
0.5 mg comp.x 42,0.5 mg comp.x 42
0.5 mg comp.x 500,0.5 mg comp.x 500
0.5 mg comp.x 90,0.5 mg comp.x 90
0.5 mg f.a.x 1,0.5 mg f.a.x 1
0.5 mg iny.a.x 25 x 5 ml,0.5 mg inj.a.x 25 x 5 ml
0.5 mg iny.a.x 5,0.5 mg inj.a.x 5
0.5 mg jer. prell. x 4,0.5 mg prefilled syringe x 4
0.5 mg/5 ml a.x 50,0.5 mg/5 ml a.x 50
0.5 mg/ml a.x 1,0.5 mg/ml a.x 1
0.5 mg/ml gts.x 20 ml,0.5 mg/ml gts.x 20 ml
0.5 mg/ml liq.x 15 ml,0.5 mg/ml liq. x 15 ml
0.5 mg/ml liq.x 30 ml,0.5 mg/ml liq. x 30 ml
0.5 mgcomp.x 500,0.5 mgcomp.x 500
0.5% ad.gts.x 20 ml,0.5% ad.gts.x 20 ml
0.5% colirio x 5 ml,0.5% eye drops x 5 ml
0.5% cr.x 15 g,0.5% cr.x 15 g
0.5% gts.adultos x 20 ml,0.5% gts.adults x 20 ml
0.5% gts.oft.x 10 ml,0.5% gts.oft.x 10 ml
0.5% gts.oft.x 5 ml,0.5% gts.oft.x 5 ml
0.5% gts.p/nebul.x 10 ml,0.5% gts.p/nebul.x 10 ml
0.5% gts.p/nebul.x 20 ml,0.5% gts.p/nebul.x 20 ml
0.5% gts.x 10 ml,0.5% gts.x 10 ml
0.5% gts.x 15 ml,0.5% gts.x 15 ml
0.5% iny.a.x 2 x 2 ml,0.5% inj.a.x 2 x 2 ml
0.5% sol.oft.x 10 ml,0.5% sol.oft.x 10 ml
0.5% spray x 60 ml.,0.5% spray x 60 ml.
0.50 mg comp.x 10,0.50 mg tablets x 10
0.50 mg comp.x 50,0.50 mg tablets x 50
0.50% colirio x 5 ml,0.50% eye drops x 5 ml
0.50% gts.oft.x 2.5 ml,0.50% gts.oft.x 2.5 ml
0.50% sol.oft.x 2.5 ml,0.50% sol.oft.x 2.5 ml
0.5mg comp.lib.prol.x 20,0.5mg comp.lib.prol.x 20
0.5ml/529mg f.a.x 15 ml,0.5ml/529mg f.a.x 15 ml
0.6 mg comp.x 10,0.6 mg tablets x 10
0.6 mg/1 ml x iny.x 60,0.6 mg/1 ml x inj.x 60
0.6 mg/ml gts.x 30 ml,0.6 mg/ml gts.x 30 ml
0.75 mg comp.x 60,0.75 mg tablets x 60
0.75 mg/0.5ml x 4 lap.,0.75 mg/0.5ml x 4 lap.
0.75% gel x 30 g,0.75% gel x 30 g
0.75mg/ml pvo.p/sol.oral,0.75mg/ml pvo.p/sol.oral
0.8 g jbe.x 120 ml,0.8 g jbe.x 120 ml
0.8% gel x 30 g,0.8% gel x 30 g
0.9% sol. oft. x 10 ml,0.9% ophthalmic sol. x 10 ml
000 2mangos+6cep.interd.,000 2 mangoes+6 interd.cep.
01 rubio ul/cla.nat.x 1 (VL),01 blonde ul/cla.nat.x 1 (VL)
011 a.x 12 x 10 ml c/u,011 a.x 12 x 10 ml each
011 rosa mosqueta x 20ml (VL),011 rosehip x 20ml (VL)
012 2mangos+6cep.interd.,012 2 mangoes+6 interd.cep.
01rubio ul/cla.nat.kitx1 (VL),01rubio ul/cla.nat.kitx1 (VL)
02 rubio ul/cla.dor.x 1 (VL),02 blond ul/cla.dor.x 1 (VL)
022 a.x 12 x 10 ml c/u,022 a.x 12 x 10 ml each
02rubio ul/cla.dor.kitx1 (VL),02rubio ul/cla.dor.kitx1 (VL)
03 rubio ul/cla.cen.x 1 (VL),03 blond ul/cla.cen.x 1 (VL)
033 a.x 12 x 10 ml c/u,033 a.x 12 x 10 ml each
03rubio ul/cla.cen.kitx1 (VL),03rubio ul/cla.cen.kitx1 (VL)
055 p/quebradizos x 20ml (VL),055 p/brittle x 20ml (VL)
1 % susp. x 5 ml,1% susp. x 5 ml
1 g a.x 1 x 2 ml,1 g a.x 1 x 2 ml
1 g a.x 100 x 5 ml,1 g a.x 100 x 5 ml
1 g blist x30 comp x10 (VL),1 g blister x30 comp x10 (VL)
1 g comp. x 14,1 g comp. x 14
1 g comp. x 16,1 g comp. x 16
1 g comp.mast.x 60,1 g comp.mast.x 60
1 g comp.rec.x 10,1 g comp.rec.x 10
1 g comp.rec.x 21,1 g comp.rec.x 21
1 g comp.rec.x 30,1 g comp.rec.x 30
1 g comp.rec.x 60,1 g comp.rec.x 60
1 g comp.rec.x 8,1 g comp.rec.x 8
1 g comp.x 16 (TRZB),1 g comp.x 16 (TRZB)
1 g comp.x 180 (VL),1 g comp.x 180 (VL)
1 g comp.x 21,1 g comp.x 21
1 g comp.x 4,1 g comp.x 4
1 g comp.x 50,1 g comp.x 50
1 g comp.x 60,1 g comp.x 60
1 g comp.x 80 (VL),1 g comp.x 80 (VL)
1 g f.a.x 100,1 g f.a.x 100
1 g f.a.x 100 E.H.,1 g f.a.x 100 E.H.
1 g f.a.x 42,1 g f.a.x 42
1 g f.a.x 50,1 g f.a.x 50
1 g IM f.a.+a.solv.(C/u),1 g IM f.a.+a.solv.(Each)
1 g IM f.a.x 1,1 g IM f.a.x 1
1 g IM f.a.x 3,1 g IM f.a.x 3
1 g iny. f.a.x 100,1 g inj. f.a.x 100
1 g iny.a.x 1,1 g inj.a.x 1
1 g iny.a.x 100 x 5 ml,1 g inj.a.x 100 x 5 ml
1 g iny.f.a. (C/u),1 g inj.f.a. (Each)
1 g iny.f.a.+a.sol.,1 g inj.f.a.+a.sol.
1 g iny.f.a.x 100,1 g inj.f.a.x 100
1 g iny.IV f.a.x 1,1 g inj.IV f.a.x 1
1 g iny.pvo.liof.x 1,1 g inj.pvo.liof.x 1
1 g IV f.a. x 1 + a.dil.,1 g IV f.a. x 1 + a.dil.
1 g IV f.a. x 25 (EH),1 g IV f.a. x 25 (EH)
1 g IV f.a.+a.solv.,1 g IV f.a.+a.solv.
1 g IV f.a.x 1,1 g IV f.a.x 1
1 g IV iny.f.a.caja x 10,1 g IV inj.f.a.box x 10
1 g IV iny.f.a.x 1,1 g IV inj.f.a.x 1
1 g IV iny.f.a.x 50,1 g IV inj.f.a.x 50
1 g IV/IM vial liof.x 1,1 g IV/IM vial liof.x 1
1 g pomos x 7 x 100 ml,1 g knobs x 7 x 100 ml
1 g sob.x 15 (VL),1 g sachet x 15 (VL)
1 g sob.x 50,1 g sachet x 50
1 g sup.x 28,1 g sup.x 28
1 g sup.x 30,1 g sup.x 30
1 g x f.a.x 1,1 g x f.a.x 1
1 mcg a.x 5 x 1 ml,1 mcg a.x 5 x 1 ml
1 mg a.x 100 x 1 ml,1 mg a.x 100 x 1 ml
1 mg a.x 100 x 4 ml,1 mg a.x 100 x 4 ml
1 mg a.x 25 x 4 ml,1 mg a.x 25 x 4 ml
1 mg comp. rec.x 28,1 mg tab. rec.x 28
1 mg comp. x 15,1 mg tab. x 15
1 mg comp.birran.x 30,1 mg comp.birran.x 30
1 mg comp.birran.x 60,1 mg comp.birran.x 60
1 mg comp.laq.x 30,1 mg comp.laq.x 30
1 mg comp.lib.prol.x 20,1 mg comp.lib.prol.x 20
1 mg comp.ran.x 20,1 mg comp.ran.x 20
1 mg comp.rec.ran.x 20,1 mg comp.rec.ran.x 20
1 mg comp.rec.ran.x 60,1 mg comp.rec.ran.x 60
1 mg comp.rec.x 10,1 mg comp.rec.x 10
1 mg comp.rec.x 120,1 mg comp.rec.x 120
1 mg comp.rec.x 20,1 mg comp.rec.x 20
1 mg comp.rec.x 42,1 mg comp.rec.x 42
1 mg comp.rec.x 7,1 mg comp.rec.x 7
1 mg comp.rec.x 90,1 mg comp.rec.x 90
1 mg comp.subl. x 30,1 mg subcutaneous caplet x 30
1 mg comp.subl.x 30,1 mg comp.subl.x 30
1 mg comp.subl.x 50,1 mg comp.subl.x 50
1 mg comp.subling.x 5,1 mg comp.subling.x 5
1 mg comp.x 15,1 mg comp.x 15
1 mg comp.x 30 (VL),1 mg comp.x 30 (VL)
1 mg comp.x 40,1 mg comp.x 40
1 mg comp.x 500,1 mg comp.x 500
1 mg f.a.x 1 jga.prell.,1 mg f.a.x 1 jga.prell.
1 mg f.a.x 5+a.diluy.x 5,1 mg f.a.x 5+a.diluy.x 5
1 mg iny.a.x 1,1 mg inj.a.x 1
1 mg jer. prell. x 4,1 mg prefilled syringe x 4
1 mg mint x 36 (VL),1 mg mint x 36 (VL)
1 mg vial x 1 ml,1 mg vial x 1 ml
1 mg/ml a.x 1 x 2 ml,1 mg/ml a.x 1 x 2 ml
1 mg/ml a.x 10 x 4 ml,1 mg/ml a.x 10 x 4 ml
1 mg/ml a.x 100 x 4 ml,1 mg/ml a.x 100 x 4 ml
1 mg/ml a.x 2 x 4 ml,1 mg/ml a.x 2 x 4 ml
1 mg/ml f.a. x 5 ml,1 mg/ml f.a. x 5 ml
1 mg/ml f.a.x1x10ml,1 mg/ml f.a.x1x10ml
1 mg/ml iny.a.x 1,1 mg/ml inj.a.x 1
1 mg/ml jga.prell.+vial,1 mg/ml jga.prell.+vial
1 mg/ml sol.oral x 30 ml,1 mg/ml oral sol. x 30 ml
1 MUI f.a.monodosis x 30,1 MUI f.a. monodose x 30
1 narrow mango+3 cep.int (VL),1 narrow mango+3 cep.int (VL)
1 negro indiv.x 1 (VL),1 black individual x 1 (VL)
1 vial x 0.23 ml+aguja,1 vial x 0.23 ml+needle
1 vial x 10 ml,1 vial x 10 ml
1% a.x 1 x 1 ml,1% a.x 1 x 1 ml
1% a.x 1 x 5 ml,1% a.x 1 x 5 ml
1% a.x 100 x 1 ml,1% a.x 100 x 1 ml
1% c/epi.a.x 25 x 20 ml,1% c/epi.a.x 25 x 20 ml
1% colirio x 5 ml,1% eye drops x 5 ml
1% cr.enj.x 120 ml (VL),1% cr.enj.x 120 ml (VL)
1% cr.x 20 g,1% cr.x 20 g
1% cr.x 25 g,1% cr.x 25 g
1% cr.x 30 g (VL),1% cr.x 30 g (VL)
1% cr.x 30 g.,1% cr.x 30 g.
1% cr.x 50 g,1% cr.x 50 g
1% cr.x 60 g,1% cr.x 60 g
1% emuls.x 100 ml,1% emuls.x 100 ml
1% emuls.x 15 ml,1% emuls.x 15 ml
1% env.x 30 g,1% env.x 30 g
1% f.a.x 20 ml,1% f.a.x 20 ml
1% f.a.x 20 x 20 ml,1% f.a.x 20 x 20 ml
1% fco.gotero x 15 ml,1% fco.dropper x 15 ml
1% fco.gotero x 15 ml (VL),1% fco.dropper x 15 ml (VL)
1% gel x 50 g,1% gel x 50 g
1% gel x 50 g (VL),1% gel x 50 g (VL)
1% iny.a.x 2 x 2 ml,1% inj.a.x 2 x 2 ml
1% pomo x 30 g,1% knob x 30 g
1% s/epi.a.x 50 x 5 ml,1% s/epi.a.x 50 x 5 ml
1% s/epi.f.a.x 100 x 5ml,1% s/epi.f.a.x 100 x 5ml
1% s/epi.f.a.x 25 x 20ml,1% s/epi.f.a.x 25 x 20ml
1% s/epi.f.a.x 50 x 20ml,1% s/epi.f.a.x 50 x 20ml
1% s/epi.f.a.x 50x 25 ml,1% s/epi.f.a.x 50x 25 ml
1% sol.oft.x 15 ml,1% sol.oft.x 15 ml
1% susp.oft.x 5 ml,1% susp.oft.x 5 ml
1.0 mg comp.rec.x 42,1.0 mg comp.rec.x 42
1.0 mg comp.x 42,1.0 mg comp.x 42
1.0 VL 1x 30ml AR,1.0 VL 1x 30ml AR
1.115 g a.x 100 x 5 ml,1.115 g a.x 100 x 5 ml
1.16 % pomo x 50 g,1.16% knob x 50 g
1.16 g pomo x 50 g,1.16 g knob x 50 g
1.2 g IV f.a.x 1,1.2 g IV f.a.x 1
1.25 % sol.oft.x 2.5 ml,1.25% sol.oft.x 2.5 ml
1.250 mg comp.mast.x 60,"1,250 mg comp.mast.x 60"
1.5 g f.a.x 100 E.H.,1.5 g f.a.x 100 E.H.
1.5 g f.a.x 50,1.5 g f.a.x 50
1.5 g iny.f.a.,1.5 g inj.f.a.
1.5 g iny.f.a.x 1,1.5 g inj.f.a.x 1
1.5 g iny.f.a.x 1+solv.,1.5 g inj.f.a.x 1+solv.
1.5 g iny.x 1,1.5 g inj.x 1
1.5 mg comp.rec.LP x 30,1.5 mg comp.rec.LP x 30
1.5 mg comp.rec.x 30,1.5 mg comp.rec.x 30
1.5 mg comp.rec.x 42,1.5 mg comp.rec.x 42
1.5 mg comp.x 20,1.5 mg tablets x 20
1.5 mg comp.x 42,1.5 mg comp.x 42
1.5 mg f.a.x 1,1.5 mg f.a.x 1
1.5 mg/0.5ml x 4 lap.,1.5 mg/0.5ml x 4 lap.
1.5% PD2 bolsa x 2000 ml,1.5% PD2 bag x 2000 ml
1.5% PD2 bolsa x 2500 ml,1.5% PD2 bag x 2500 ml
1.5% PD2 bolsa x 6000 ml,1.5% PD2 bag x 6000 ml
1.5% PD4 bolsa x 2500 ml,1.5% PD4 bag x 2500 ml
1.5% PD4 bolsa x 6000 ml,1.5% PD4 bag x 6000 ml
1.5g gran.lib.pr.sob.x30,1.5g gran.lib.pr.sob.x30
1.5mg comp.lib.prol.x 30,1.5mg comp.lib.prol.x 30
1.5mg/1ml 3 f.a+3 a.liof,1.5mg/1ml 3 f.a+3 a.liof
1.6 g jbe.x 120 ml,1.6 g jbe.x 120 ml
1.65 g fco.a.x 10 ml,1.65 g fco.a.x 10 ml
1/0.5 g pvo.liof.f.a.x10,1/0.5 g pvo.liof.f.a.x10
1/6 mol.sachet x1 x100ml,1/6 mol.sachet x1 x100ml
10 g f.a.x 1 x 200 ml,10 g f.a.x 1 x 200 ml
10 g f.a.x 200 ml,10 g f.a.x 200 ml
10 g sob.x 16,10 g sachet x 16
10 g sob.x 8,10 g sachet x 8
10 mcg f.a.x 0.5 ml,10 mcg f.a.x 0.5 ml
10 mcg/ml a.x 42 x 1 ml,10 mcg/ml a.x 42 x 1 ml
10 mg a.x 1 x 2 ml,10 mg a.x 1 x 2 ml
10 mg a.x 100,10 mg a.x 100
10 mg a.x 100 x 20 ml,10 mg a.x 100 x 20 ml
10 mg a.x 2 ml,10 mg a.x 2 ml
10 mg a.x 2 ml x 100,10 mg a.x 2 ml x 100
10 mg a.x 25,10 mg a.x 25
10 mg a.x 25 x 2 ml,10 mg a.x 25 x 2 ml
10 mg a.x 25 x 20 ml,10 mg a.x 25 x 20 ml
10 mg a.x 3 x 1 ml,10 mg a.x 3 x 1 ml
10 mg a.x 5,10 mg a.x 5
10 mg a.x 5 x 1 ml,10 mg a.x 5 x 1 ml
10 mg a.x 5 x 2 ml,10 mg a.x 5 x 2 ml
10 mg a.x 50 x 1 ml,10 mg a.x 50 x 1 ml
10 mg a.x 50 x 20 ml,10 mg a.x 50 x 20 ml
10 mg a.x 6 x 2 ml,10 mg a.x 6 x 2 ml
10 mg a.x100 x 1 ml (EH),10 mg a.x100 x 1 ml (EH)
10 mg comp. rec.x 30,10 mg comp. rec.x 30
10 mg comp. x 15,10 mg tablets x 15
10 mg comp. x 20 (VL),10 mg tablets x 20 (VL)
10 mg comp. x 30 (VL),10 mg tablets x 30 (VL)
10 mg comp. x 60,10 mg tablets x 60
10 mg comp.birran.x 28,10 mg comp.birran.x 28
10 mg comp.birran.x 30,10 mg comp.birran.x 30
10 mg comp.dispers. x 30,10 mg dispersible tablets x 30
10 mg comp.lib.contr.x30,10 mg comp.lib.contr.x30
10 mg comp.ran.x 10,10 mg comp.ran.x 10
10 mg comp.ran.x 100,10 mg comp.ran.x 100
10 mg comp.rec. x 30,10 mg rec. tab. x 30
10 mg comp.rec. x 60,10 mg rec. tablets x 60
10 mg comp.rec.ran.x 20,10 mg comp.rec.ran.x 20
10 mg comp.rec.ran.x 40,10 mg comp.rec.ran.x 40
10 mg comp.rec.x 10 (VL),10 mg comp.rec.x 10 (VL)
10 mg comp.rec.x 12,10 mg comp.rec.x 12
10 mg comp.rec.x 1200,10 mg comp.rec.x 1200
10 mg comp.rec.x 25,10 mg comp.rec.x 25
10 mg comp.rec.x 500,10 mg comp.rec.x 500
10 mg comp.subl.x 30,10 mg subcutaneous caplets x 30
10 mg comp.x 100(s/troq),10 mg comp.x 100(s/troq)
10 mg comp.x 15 (VL),10 mg comp.x 15 (VL)
10 mg comp.x 20 (VL),10 mg comp.x 20 (VL)
10 mg comp.x 25,10 mg tablets x 25
10 mg comp.x 500 (VL),10 mg comp.x 500 (VL)
10 mg comp.x 500(EH),10 mg comp.x 500(EH)
10 mg env.x 1,10 mg env.x 1
10 mg f.a.x 1 + a.solv.,10 mg f.a.x 1 + a.solv.
10 mg f.a.x 100 x 10 ml,10 mg f.a.x 100 x 10 ml
10 mg f.a.x 25,10 mg f.a.x 25
10 mg f.a.x 7,10 mg f.a.x 7
10 mg iny.a.x 100,10 mg inj.a.x 100
10 mg iny.a.x 100 x 1ml,10 mg inj.a.x 100 x 1ml
10 mg iny.a.x 100 x 2 ml,10 mg inj.a.x 100 x 2 ml
10 mg iny.a.x 25 x 10ml,10 mg inj.a.x 25 x 10ml
10 mg iny.a.x 50,10 mg inj.a.x 50
10 mg iny.f.a.x 1 x 1 ml,10 mg inj.f.a.x 1 x 1 ml
10 mg iny.liof.f.a.x 25,10 mg inj.liof.f.a.x 25
10 mg iny.liof.f.a.x 30,10 mg inj.liof.f.a.x 30
10 mg iny.x 1,10 mg inj.x 1
10 mg jer.prell. x 4,10 mg syringe prell. x 4
10 mg lap.prell.x1x1.5ml,10 mg lap.prell.x1x1.5ml
10 mg lapiceras prell.x1,10 mg prefilled pens x1
10 mg liof.f.a.caja x 25,10 mg liof.f.a.box x 25
10 mg sobres x 28,10 mg sachets x 28
10 mg tab.dis.inst.x 14,10 mg tab.dis.inst.x 14
10 mg tab.dis.inst.x 28,10 mg tab.dis.inst.x 28
10 mg tab.x 25,10 mg tab.x 25
10 mg tab.x 75,10 mg tab.x 75
10 mg vial x 1,10 mg vial x 1
10 mg vial x 10 ml,10 mg vial x 10 ml
10 mg/2 ml a.x 3 x 2 ml,10 mg/2 ml a.x 3 x 2 ml
10 mg/20 ml f.a.x 1,10 mg/20 ml f.a.x 1
10 mg/20 ml iny.a.x 1,10 mg/20 ml inj.a.x 1
10 mg/25 mg comp.ran.x30,10 mg/25 mg tab.ran.x30
10 mg/5 ml iny.a.x 1,10 mg/5 ml inj.a.x 1
10 mg/ml a.x 10 x 1 ml,10 mg/ml a.x 10 x 1 ml
10 mg/ml a.x 10 x 20 ml,10 mg/ml a.x 10 x 20 ml
10 mg/ml a.x 5 x 1 ml,10 mg/ml a.x 5 x 1 ml
10 mg/ml a.x 50,10 mg/ml a.x 50
10 mg/ml a.x 50 x 5 ml,10 mg/ml a.x 50 x 5 ml
10 mg/ml f.a.x 1 x 10 ml,10 mg/ml f.a.x 1 x 10 ml
10 mg/ml f.a.x 5 x 20 ml,10 mg/ml f.a.x 5 x 20 ml
10 mg/ml f.a.x1x10ml,10 mg/ml f.a.x1x10ml
10 mg/ml jbe.x 240 ml,10 mg/ml jbe.x 240 ml
10 rub.cl.claro kit x 1 (VL),10 rub.cl.claro kit x 1 (VL)
10 rub.claro claro kitx1 (VL),10 rub.light light kitx1 (VL)
10% a.x 1 x 10 ml,10% a.x 1 x 10 ml
10% a.x 1 x 20 ml,10% a.x 1 x 20 ml
10% a.x 1 x 5 ml,10% a.x 1 x 5 ml
10% a.x 100 x 10 ml,10% a.x 100 x 10 ml
10% a.x 25 x 10 ml,10% a.x 25 x 10 ml
10% gel x 40 g,10% gel x 40 g
10% gel x 50 ml (VL),10% gel x 50 ml (VL)
10% gel x 60 g,10% gel x 60 g
10% gel x 70 g,10% gel x 70 g
10% iny.a.x 100 x 10 ml,10% inj.a.x 100 x 10 ml
10% iny.a.x 25 x 10 ml,10% inj.a.x 25 x 10 ml
10% loc. x 236 ml (VL),10% loc. x 236 ml (VL)
10% sol. x 60 ml (VL),10% sol. x 60 ml (VL)
10% sol.fco.x 60 ml (VL),10% sol.fco.x 60 ml (VL)
